Year,school_dbn,avg_attendance,school_level,regents_exam,total_tested,mean_score,number_scoring_below_65,number_scoring_65_or_above,number_scoring_80_or_above,number_scoring_cr,per_below_65,per_above_65,per_above_80,college_readiness_rate
2015,01M292,0.7694513005505981,High school,Common Core Algebra,12,52.3,11,1,0,0,0.9166666666666666,0.08333333333333333,0,0
2015,01M292,0.7694513005505981,High school,Common Core English,34,61.5,15,19,9,11,0.4411764705882353,0.5588235294117647,0.2647058823529412,0.3235294117647059
2015,01M292,0.7694513005505981,High school,Common Core Geometry,10,49.2,9,1,0,1,0.9,0.1,0,0.1
2015,01M292,0.7694513005505981,High school,English,57,63,25,32,5,13,0.43859649122807015,0.5614035087719298,0.08771929824561403,0.22807017543859648
2015,01M292,0.7694513005505981,High school,Geometry,18,57.8,12,6,1,1,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.05555555555555555
2015,01M292,0.7694513005505981,High school,Integrated Algebra,63,63.4,30,33,5,5,0.47619047619047616,0.5238095238095238,0.07936507936507936,0.07936507936507936
2015,01M448,0.8775331128219201,High school,Algebra2/Trigonometry,45,62.2,21,24,10,10,0.4666666666666667,0.5333333333333333,0.2222222222222222,0.2222222222222222
2015,01M448,0.8775331128219201,High school,Common Core Algebra,105,62.6,52,53,2,30,0.49523809523809526,0.5047619047619047,0.01904761904761905,0.2857142857142857
2015,01M448,0.8775331128219201,High school,Common Core English,70,69.2,20,50,24,31,0.2857142857142857,0.7142857142857143,0.34285714285714286,0.44285714285714284
2015,01M448,0.8775331128219201,High school,Common Core Geometry,76,56.4,59,17,2,14,0.7763157894736842,0.2236842105263158,0.02631578947368421,0.18421052631578946
2015,01M448,0.8775331128219201,High school,English,117,65.1,46,71,15,37,0.39316239316239315,0.6068376068376068,0.1282051282051282,0.3162393162393162
2015,01M448,0.8775331128219201,High school,Geometry,87,68.5,32,55,19,19,0.367816091954023,0.632183908045977,0.21839080459770116,0.21839080459770116
2015,01M448,0.8775331128219201,High school,Integrated Algebra,42,65.7,19,23,7,7,0.4523809523809524,0.5476190476190477,0.16666666666666666,0.16666666666666666
2015,01M450,0.9374037407177155,Secondary School,English,53,74.6,4,49,15,28,0.07547169811320754,0.9245283018867925,0.2830188679245283,0.5283018867924528
